Name,Comment,Time,Likes,Reply Count
Shelley Boom,"What about 'feminity',?
If we returned to the Mother we would all be better off. Looking for the male to provide anything other than a method of procreation is ludicrous.",2021-07-22T19:01:19Z,2,
Anthony Dallarosa,How old is this snippet of debate? Am I wrong in feeling something like DejaVu?,2021-07-22T18:59:59Z,1,
Lesser Spotted Mugwump.,Trust you to have a man bun whilst talking about masculinity Russel.,2021-07-22T18:58:33Z,0,
Jonathan Doble,When did this interview happen?,2021-07-22T18:58:20Z,0,
Ash J  _/,🌮👈😋👍🇦🇺,2021-07-22T18:47:48Z,0,
JonGabriel Minney,please do a video on EVENT 201. thank you,2021-07-22T18:18:11Z,0,
Blark Blark,Ain't you gay Russell????,2021-07-22T17:53:45Z,0,
JDB723,"Now I'm confused. I paid the sign up on luminary just so I could hear your podcast. And I found that Luminary sucks, other than your podcast. There are no other worthwhile podcasts on there. What's the bottom line here? Where should we subscribe to hear your full podcasts going forward?",2021-07-22T17:40:17Z,0,
karman Smith,"❤❤❤how refreshing🙏 !😊ive 3 grown,bought up alone, all flew the nest doing very well,,extremely independent!💯agree!!!!as 1 daughter is pro footballer across the pond, and another 1 coming up the ranks🥰would love to get stuck on a lift with you two!!🙏🥰😄",2021-07-22T17:35:30Z,2,
Tricia Coffey,Such a guide you have became...this was a beaut!!!,2021-07-22T17:34:34Z,1,
Samoht Sirood,Don't forget the story of Lilith as well Adam's original Eve.,2021-07-22T17:34:10Z,2,
Bryan Leovy,Dude talk about the Exxon Exposed story. That's the real news.,2021-07-22T17:09:35Z,1,
Open Eyes,"Hey man I love your work. We have the same personalities types. Very interesting. Love the way you articulate, spread great knowledge, and wisdom.",2021-07-22T17:06:42Z,5,
Amin,"I think we 
As humans need to have some sort of toughness in us regardless if you are male or a female or transgender or whatever gender you are 
We need to take pride in what we do and always want to improve and build discipline",2022-09-11T18:14:12Z,0,0
Hank Hill,1950’s America is what it should be. That’s my opinion. Women are masculine now and men feminine. Look at the low cut shorts and skinny jeans that are trendy for men… absolutely feminine. Look at women acting like hyenas and pit bulls,2022-08-30T02:06:52Z,0,0
Hank Hill,Men are under attack. Take a ship for example that is crashed on a deserted island. All traditional gender roles will naturally appear again,2022-08-30T02:04:45Z,0,0
Intoxicated Masculinity ,"Youtube has a very close to 50/50 gender split, which  is easy to simply google...",2022-08-29T01:35:54Z,0,0
Masculinity Mindset,This video is not loading? Are there some blue-haired staffers at YouTube messing with content they do not approve of?,2022-08-26T09:52:51Z,0,0
Semiramis Munoz,Two Smart respectful men,2022-08-18T21:11:42Z,0,0
DJ Kaliope,Bruh...... your message is reaching the masses.  Masculinity is now a currency 💲...... you can see it Every Day,2022-07-29T03:28:14Z,0,0
Eric Ortega,Russell I love you like a older brother. Although the man bun looks stupid.😑,2022-07-18T12:48:40Z,0,0
MKL951,So he can talk about the devouring mother and the good feminine archetype but he pushes back on people talking about toxic masculinity?,2022-07-07T17:58:49Z,0,0
Seano The*POP*,"These men don't seem masculine to me. And that's great, it's just the same reason we don't trust a thin chef, we don't trust skinny, weak, effeminate, emotional whiners like peterson and brand. These are people easily outmanned by anything. Their own perception of masculinity is off to begin with. Believe it if you must but strong people, don't need it to handle you.",2022-07-06T10:14:06Z,0,1
Rusty Shackleford,it sounds like they struck a nerve… everything ok bro?,2022-08-17T01:32:51Z,0,
