Name,Comment,Time,Likes,Reply Count
1ST DEGREE MOBB,"💯TRUTH , keep going steph",2020-07-04T07:40:33Z,0,0
Anthony M.,Damn this video hit the mark. About a 3 weeks ago I finally smashed this girl I met 3 years ago who then went cold on me 2 months later. My nice dumbass chased after her with nothing in return so I went dry on her after that. Everything you said is true af.,2020-07-04T01:04:20Z,4,0
CrewTV,I’ve seen / heard plenty of females say they don’t smash on the first night so they don’t seem like a hoe.,2020-07-03T23:39:37Z,6,0
The StaticCoder,"My girl and I had our biggest fight ever.....  Followed by me fuckin the absolute life out of her...  She knows women want me, it has a hell of an effect on the psyche",2020-07-03T20:07:01Z,1,0
Mario Hartdige,Man just been subscribed for 3 days every vid i have watched ive learned something new. Thank you for exposing me for the blue pill man ive always been and doing what your doing to help turn blue man  into the man they are purposed to be.,2020-07-03T19:37:46Z,0,0
Ben Foster,"Flips 304 upside down, mind blown!",2020-07-03T15:44:27Z,0,0
Dorian Allen,What woman say they want is oxymorons 💯💯🔥,2020-07-03T14:05:22Z,0,0
Andzrej Warner,She look at you like you crazy 😂 damn that hit a nurve bro,2020-07-03T12:55:49Z,2,0
Zozi,Where you from?,2020-07-03T06:33:20Z,0,0
O.Clarke,"When i had a girl, the amount of attention i got from other women was astronomical, verses me being single.",2020-07-03T04:14:04Z,33,0
Cooli Highh,That beat in the intro is COLD bro,2020-07-03T02:36:04Z,0,0
Abraham Salinas,Steph I’ve gone cold and never been more free thank you bro you’re faithful 🙏🏽,2020-07-03T01:36:30Z,2,0
Aaron Fan,Could not be more true,2020-07-03T00:55:04Z,0,0
BLCK TYLR,music at the intro is my track  9//9//9 on soundcloud btw if anyone else wanted to know,2020-07-02T23:08:12Z,0,0
Quadri Amusa,It feels like he sat me down while im eating and telling me how these females b,2020-07-02T19:23:32Z,3,0
ScoopBaby Motivation,"Women are beautiful but takes time in energy to keep her happy but even then she still be looking for something else because she don't know what she wants for guys we have to stay on a purpose don't let these women use you or play you because there more manipulative then guys, women are super complicated there not logical like my boy said they go based on feelings not Logic I've sleeped with plenty of wifes and girls in relationships in let me tell you they don't give a fuck about there dude's and half of them act like they like you to get what they can from out of you as in even a baby child Support it's sad but it's true but hey always be there for the lady's but whatever you don't try to save them because they don't want to be saved hope that helps.👍",2020-07-02T16:03:50Z,0,0
Asthereal,AMS clone he just rebranding the same content no hate tho,2020-07-02T10:40:35Z,0,0
preludeF20Bking,This is true. I been toxic very toxic with my girl. She always comes back almost as if she likes this shit. The bedroom is a major factor for women I feel. I give her the fuck of her life  every single time. Rough.,2020-07-02T07:22:43Z,0,0
🐺theGreatAndSigmaticgiants🐺,👍🏾💯,2020-07-02T04:57:34Z,0,0
Clay Rogers,Steph please do a video about Will Smith allowing his wife to get dug out by August Alsina. It’s in the news right now G smfh,2020-07-02T02:17:07Z,1,0
Friezasama91 _,They all talk. They love to complain. Negative attentions is better than no attention. They all got daddy issues,2020-07-01T19:54:06Z,37,0
Friezasama91 _,Because they all have an ego. They want what they can’t have. They want social status and high money. This man is right. They say lies,2020-07-01T19:44:32Z,10,0
Sin Orbit,Steph what if you have a girl ? Should you still have girls in your rotation ?,2020-07-01T16:06:53Z,0,0
Jeberted,These 304s ain’t loyal,2020-07-01T15:16:17Z,1,0
Marcos CARDE,king,2020-07-01T14:30:55Z,0,0
Ness,Aye ima start using 304 😂😂,2020-07-01T12:24:38Z,0,0
O'niz1000 Channel,i read somewhere that hell is filled with more women than men...i wondr why that may be...hmm,2020-07-01T10:05:05Z,1,0
StreamToronto,You look like you're trying to look pretty in your thumbnail,2020-07-01T09:54:39Z,0,0
Drake,Steph you spoke so many facts in this video💯,2020-07-01T07:02:45Z,1,0
holden killa,Who watch stephiscold and MJGETRIGHT?,2020-07-01T05:36:37Z,0,0
Mike Larry,Im toxic asf in a good way though 😂,2020-07-01T05:23:45Z,0,0
Truth Be Told,5:52 lmaoooo,2020-07-01T03:08:00Z,0,0
Hakeem Howell,Speak on the jada and will situation well that’s if you know about it,2020-07-01T02:35:37Z,1,0
Cameron,The term 304 is dumb asl easier to just say hoe why was this term created🤣🤣🤦🏾‍♂️,2020-07-01T02:04:05Z,1,0
God’s General,Fellas y’all think this is something ? Shit my G hit the Patreon . Steph always keeps it 💯 real attracts real .,2020-07-01T01:24:56Z,2,0
Kevin Brvo,"Men speak overtly and women speak covertly. That’s why us guys always think woman are confusing, but they aren’t confusing they just speak in a different language. 

Men will say it straight up how it is, and women will speak in actions.

She hot and cold with you, just means another dude entertaining her, if a girl really want you she won’t risk losing you, if she ehh about you she’ll show that. 

If she wants to hang she will, if she wants to f*ck she will. If she makes you wait 5 dates in for it than it ain’t worth it move on.",2020-07-01T00:30:15Z,12,0
Rome,It's hard af to find love,2020-06-30T23:53:29Z,2,0
Jaime Jordán,Please make a video on the topic of kids and if you see yourself having kids and how you’d manage that situation,2020-06-30T23:39:54Z,0,0
Aryan 77,Wish I found this channel a month ago. But it's never late to learn and get better in future,2020-06-30T23:02:31Z,1,0
Himothy Stevenson,yo steph what’s your email? i have a question about the program,2020-06-30T22:46:20Z,0,0
Adam Valerino,"They are compulsive liars, you have to see them for what they are and not what you want them to be.",2020-06-30T21:16:23Z,3,0
Qua D,"They boring anyway, stay on path family ✊🏾",2020-06-30T21:13:59Z,0,0
MilesInDaCut,he don’t even have waves.... let that sink in yall,2020-06-30T20:50:26Z,7,0
TikTok video,Woman hate toxic bate male is toxic man,2020-06-30T19:41:25Z,0,0
AlphaDignity,"She doesn't need your love, she needs your energy",2020-06-30T19:12:02Z,2,0
Ninjask King,I know a girl who actually admitted this fact to me 😂 so I don’t even want to hear a bitch deny it,2020-06-30T18:54:38Z,0,0
wrightterence680,"She is addicted to the chaos & drama!!
Birds of a feather flock together!!",2020-06-30T18:00:22Z,3,0
Gokez v2,"Bro for the longest time watching this man , I thought 304 meant “304 Error found” still makes sense 😂😂",2020-06-30T18:00:03Z,0,0
